ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-02 00:00:00.000000014,-3355731020556.9463,-3470386748041.9053,-3229233194166.547,-3470386748041.9556,-3229233194166.766,0.0,0.0,0.0,0.0,0.0,0.0,-3355731020556.9463
1970-01-03 00:00:00.000000014,-6711462041114.592,-7106412627952.877,-6301331275969.805,-7106412627952.969,-6301331275970.839,0.0,0.0,0.0,0.0,0.0,0.0,-6711462041114.592
1970-01-04 00:00:00.000000014,-10067193061672.238,-10807668682830.34,-9296161314589.102,-10807668682830.227,-9296161314588.754,0.0,0.0,0.0,0.0,0.0,0.0,-10067193061672.238
1970-01-05 00:00:00.000000014,-13422924082229.883,-14576826543200.098,-12232993068115.049,-14576826543200.352,-12232993068114.686,0.0,0.0,0.0,0.0,0.0,0.0,-13422924082229.883
1970-01-06 00:00:00.000000014,-16778655102787.53,-18442829737567.777,-15047306642484.441,-18442829737567.535,-15047306642484.531,0.0,0.0,0.0,0.0,0.0,0.0,-16778655102787.53
1970-01-07 00:00:00.000000014,-20134386123345.18,-22351762420921.965,-17831319645190.652,-22351762420921.777,-17831319645190.61,0.0,0.0,0.0,0.0,0.0,0.0,-20134386123345.18
1970-01-08 00:00:00.000000014,-23490117143902.824,-26332183376576.312,-20556549935409.508,-26332183376576.59,-20556549935409.777,0.0,0.0,0.0,0.0,0.0,0.0,-23490117143902.824
1970-01-09 00:00:00.000000014,-26845848164460.47,-30361949021525.664,-23226245005737.758,-30361949021525.375,-23226245005737.953,0.0,0.0,0.0,0.0,0.0,0.0,-26845848164460.47
1970-01-10 00:00:00.000000014,-30201579185018.117,-34418327442155.46,-25957123182140.48,-34418327442155.133,-25957123182140.44,0.0,0.0,0.0,0.0,0.0,0.0,-30201579185018.117
1970-01-11 00:00:00.000000014,-33557310205575.76,-38463694729942.4,-28508997533889.203,-38463694729942.42,-28508997533889.305,0.0,0.0,0.0,0.0,0.0,0.0,-33557310205575.76
1970-01-12 00:00:00.000000014,-36913041226133.41,-42684911886150.266,-31167218259158.05,-42684911886150.055,-31167218259158.33,0.0,0.0,0.0,0.0,0.0,0.0,-36913041226133.41
1970-01-13 00:00:00.000000014,-40268772246691.055,-46704438251355.56,-33727446762667.51,-46704438251355.94,-33727446762667.195,0.0,0.0,0.0,0.0,0.0,0.0,-40268772246691.055
1970-01-14 00:00:00.000000014,-43624503267248.695,-50758000280022.734,-36279168364073.42,-50758000280022.66,-36279168364073.63,0.0,0.0,0.0,0.0,0.0,0.0,-43624503267248.695
1970-01-15 00:00:00.000000014,-46980234287806.34,-54953042504374.02,-38779813037419.14,-54953042504373.96,-38779813037419.086,0.0,0.0,0.0,0.0,0.0,0.0,-46980234287806.34
1970-01-16 00:00:00.000000014,-50335965308363.984,-59135777959883.97,-41053712126813.92,-59135777959884.19,-41053712126814.07,0.0,0.0,0.0,0.0,0.0,0.0,-50335965308363.984
1970-01-17 00:00:00.000000014,-53691696328921.63,-63268447109660.375,-43422923566691.23,-63268447109660.586,-43422923566691.484,0.0,0.0,0.0,0.0,0.0,0.0,-53691696328921.63
1970-01-18 00:00:00.000000014,-57047427349479.28,-67428822403794.47,-45808433285873.57,-67428822403794.875,-45808433285873.34,0.0,0.0,0.0,0.0,0.0,0.0,-57047427349479.28
1970-01-19 00:00:00.000000014,-60403158370036.93,-71654697208141.36,-48019715412037.29,-71654697208141.89,-48019715412037.37,0.0,0.0,0.0,0.0,0.0,0.0,-60403158370036.93
1970-01-20 00:00:00.000000014,-63758889390594.58,-76041870424439.47,-50057586155373.6,-76041870424439.36,-50057586155373.3,0.0,0.0,0.0,0.0,0.0,0.0,-63758889390594.58
1970-01-21 00:00:00.000000014,-67114620411152.22,-80368463830061.88,-52333512412757.195,-80368463830061.44,-52333512412757.08,0.0,0.0,0.0,0.0,0.0,0.0,-67114620411152.22
1970-01-22 00:00:00.000000014,-70470351431709.86,-84892440985815.8,-54776592280709.0,-84892440985815.31,-54776592280709.34,0.0,0.0,0.0,0.0,0.0,0.0,-70470351431709.86
1970-01-23 00:00:00.000000014,-73826082452267.52,-89356219072588.1,-57469346453025.18,-89356219072588.23,-57469346453024.984,0.0,0.0,0.0,0.0,0.0,0.0,-73826082452267.52
